rwa,education,childhood,gender,hand,family_size,age,test_time
1.35,University degree,Suburban,Male,Right,2,18,129
1.95,Graduate degree,Rural (country side),Male,Right,3,62,193
4.7,Less than high school,Suburban,Male,Right,2,16,238
1.25,University degree,Suburban,Female,Right,3,59,140
2.6,High school,"Urban (town, city)",Female,Both,1,49,455
2.95,High school,"Urban (town, city)",Male,Right,3,29,198
1.2,High school,"Urban (town, city)",Female,Right,1,22,515
2.25,High school,"Urban (town, city)",Male,Left,8,55,390
1.05,High school,"Urban (town, city)",Male,Right,3,24,269
1.8,High school,Suburban,Female,Right,2,18,162
1.25,High school,Suburban,Female,Left,2,15,165
2.45,University degree,Suburban,Female,Left,2,35,189
1.45,High school,Rural (country side),Male,Right,3,50,116
1.6,University degree,Suburban,Male,Right,3,31,237
5.7,High school,"Urban (town, city)",Female,Right,2,18,193
2.2,University degree,Rural (country side),Female,Right,4,28,267
1.7,High school,"Urban (town, city)",Female,Right,3,18,243
1.15,Less than high school,"Urban (town, city)",Female,Right,2,18,159
4.65,University degree,"Urban (town, city)",Male,Right,2,20,148
1.65,Graduate degree,"Urban (town, city)",Female,Right,1,32,141
1.55,University degree,Suburban,Male,Right,4,53,145
2.35,University degree,Suburban,Female,Right,3,28,388
1.5,University degree,Suburban,Male,Right,2,20,3435
4.7,Graduate degree,Rural (country side),Female,Right,5,26,410
1.25,Graduate degree,"Urban (town, city)",Female,Right,1,31,162
2.8,High school,"Urban (town, city)",Female,Right,2,15,275
2.75,High school,Suburban,Male,Right,4,24,305
2.05,Graduate degree,Suburban,Female,Right,2,32,114
1.2,Graduate degree,Suburban,Male,Right,5,44,134
4.2,University degree,"Urban (town, city)",Female,Right,3,26,170
1.85,University degree,Suburban,Female,Right,2,30,262
2.2,University degree,Suburban,Other,Left,2,56,485
1.65,High school,Suburban,Male,Right,2,18,268
5.3,University degree,Suburban,Male,Right,1,58,224
1.55,High school,Suburban,Male,Both,2,16,72
7.55,High school,Rural (country side),Male,Right,3,14,86
3.5,High school,Suburban,Female,Right,2,17,170
2.35,High school,Suburban,Female,Right,2,61,179
3.65,High school,Suburban,Male,Right,2,16,194
3.1,Less than high school,Rural (country side),Female,Right,3,48,231
2.35,High school,"Urban (town, city)",Male,Both,2,17,134
1.5,University degree,Suburban,Male,Right,3,25,139
2.6,High school,"Urban (town, city)",Female,Right,4,17,273
3.8,High school,Suburban,Male,Both,2,23,174
1.75,Less than high school,Suburban,Other,Right,4,16,197
1.6,High school,Suburban,Male,Right,2,18,441
5.35,University degree,Rural (country side),Male,Right,2,46,182
2.5,High school,"Urban (town, city)",Male,Right,3,34,145
1.65,High school,"Urban (town, city)",Male,Both,1,18,227
6.2,High school,Suburban,Male,Right,4,15,118
2.15,University degree,Rural (country side),Male,Right,2,18,165
3,Less than high school,Suburban,Female,Right,4,16,126
4.85,University degree,"Urban (town, city)",Male,Right,7,49,1275
1.95,Less than high school,Suburban,Female,Right,2,15,178
1.35,University degree,Suburban,Female,Right,3,30,201
9,University degree,"Urban (town, city)",Male,Right,5,22,140
5.4,Less than high school,"Urban (town, city)",Male,Right,1,15,213
1.8,High school,Suburban,Male,Right,2,14,311
2.95,University degree,"Urban (town, city)",Male,Right,2,24,371
1.95,Less than high school,Suburban,Female,Left,2,15,665
2.55,High school,"Urban (town, city)",Female,Left,3,21,177
3.5,Less than high school,Suburban,Male,Right,1,15,147
4.95,University degree,Suburban,Male,Right,5,53,227
2.2,Less than high school,"Urban (town, city)",Female,Right,2,15,165
2,University degree,Suburban,Male,Right,2,51,467
2.9,High school,Suburban,Male,Right,3,19,309
1.4,High school,Suburban,Female,Right,2,17,146
5.15,High school,"Urban (town, city)",Male,Right,3,42,252
1.75,High school,"Urban (town, city)",Female,Right,0,18,130
1.75,Less than high school,Rural (country side),Female,Right,3,16,156
1.7,High school,Rural (country side),Female,Right,2,18,433
3.35,Less than high school,Suburban,Female,Right,2,17,321
4.8,Graduate degree,Rural (country side),Male,Right,1,36,141
1.6,University degree,"Urban (town, city)",Female,Right,1,19,470
6.3,University degree,"Urban (town, city)",Female,Right,2,25,133
2.3,High school,"Urban (town, city)",Male,Right,3,19,195
1.35,Graduate degree,"Urban (town, city)",Male,Right,2,24,230
2.7,High school,Suburban,Female,Right,2,21,219
2.6,University degree,Suburban,Male,Right,3,61,354
4.3,University degree,"Urban (town, city)",Male,Right,3,23,162
1.7,University degree,Suburban,Male,Right,3,24,294
3.35,High school,"Urban (town, city)",Male,Right,2,16,84
4.35,University degree,Suburban,Male,Right,1,24,887
1.25,High school,"Urban (town, city)",Female,Right,2,17,165
1.7,Graduate degree,Rural (country side),Male,Right,2,28,199
1.25,High school,Suburban,Female,Right,3,14,228
1.45,University degree,Rural (country side),Female,Right,4,23,448
2.15,Less than high school,Suburban,Male,Right,3,16,351
1.8,Graduate degree,Rural (country side),Male,Left,1,33,203
1.15,High school,Suburban,Female,Right,3,26,110
5.25,Graduate degree,Suburban,Female,Both,1,33,236
1.95,High school,Suburban,Male,Right,3,23,427
1.35,High school,"Urban (town, city)",Male,Right,2,17,129
7.5,Less than high school,"Urban (town, city)",Female,Right,3,15,377
3.9,Less than high school,Suburban,Female,Right,3,14,171
1.7,University degree,"Urban (town, city)",Female,Right,3,22,179
3,University degree,Suburban,Female,Right,3,64,228
2.25,University degree,"Urban (town, city)",Male,Right,1,69,411
1.75,High school,"Urban (town, city)",Female,Right,5,44,165
2.3,University degree,Rural (country side),Female,Right,2,41,219
1.7,High school,"Urban (town, city)",Female,Right,4,46,139
1.6,Graduate degree,"Urban (town, city)",Male,Left,1,42,503
3.65,Less than high school,Suburban,Male,Both,2,15,567
1.65,Graduate degree,Suburban,Female,Right,5,37,304
3.35,High school,Suburban,Male,Right,2,19,213
4.25,Graduate degree,"Urban (town, city)",Male,Right,2,32,378
4.8,High school,"Urban (town, city)",Male,Right,3,16,254
4.1,Graduate degree,Suburban,Male,Right,2,44,214
2,University degree,"Urban (town, city)",Male,Right,2,21,235
3,High school,Suburban,Female,Right,2,19,252
7.1,Graduate degree,"Urban (town, city)",Male,Right,2,29,225
5.25,Graduate degree,"Urban (town, city)",Male,Right,2,40,319
2.1,High school,"Urban (town, city)",Other,Both,3,16,169
2.05,Less than high school,Suburban,Male,Right,3,27,244
2.45,University degree,"Urban (town, city)",Male,Right,1,24,236
1.35,High school,Suburban,Other,Right,2,21,334
6.15,High school,"Urban (town, city)",Male,Right,1,17,290
3.5,High school,Suburban,Male,Right,1,17,305
2.15,High school,Rural (country side),Male,Right,3,17,208
1.85,High school,"Urban (town, city)",Male,Right,3,17,260
1.1,High school,Suburban,Male,Right,2,24,123
4.55,High school,Suburban,Male,Right,3,22,403
1.4,Less than high school,Suburban,Female,Right,2,14,309
2.1,High school,Suburban,Male,Right,2,18,94
2.65,High school,Suburban,Female,Right,1,29,233
7.65,High school,Suburban,Female,Right,1,24,597
4.25,High school,"Urban (town, city)",Male,Left,3,19,454
